"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/2022","411.82","410.23","417.34","410.23","52.31K","0.39%"
"01/25/2022","410.23","400.76","410.95","395.24","69.62K","2.36%"
"01/24/2022","400.76","419.49","421.63","400.67","110.39K","-4.09%"
"01/21/2022","417.84","411.88","421.43","411.88","81.06K","1.47%"
"01/20/2022","411.80","409.32","413.36","397.49","78.51K","0.61%"
"01/19/2022","409.31","421.07","421.07","405.84","98.81K","-2.83%"
"01/18/2022","421.21","445.38","445.38","417.21","91.15K","-5.42%"
"01/17/2022","445.34","466.69","475.93","445.27","130.50K","-4.61%"
"01/14/2022","466.86","460.83","468.48","451.85","86.09K","1.31%"
"01/13/2022","460.83","473.43","478.70","460.70","106.15K","-2.70%"
"01/12/2022","473.64","478.59","481.77","464.91","135.12K","-1.65%"
"01/11/2022","481.61","482.80","486.75","479.80","138.11K","-0.27%"
"01/10/2022","482.89","493.84","500.09","482.65","185.62K","-2.22%"
"01/07/2022","493.84","484.87","493.94","484.87","143.93K","1.85%"
"01/06/2022","484.89","480.36","487.35","479.54","139.69K","0.94%"
"01/05/2022","480.36","474.10","480.87","474.10","131.88K","1.32%"
"01/04/2022","474.10","473.99","479.81","467.51","97.18K","0.02%"
"12/31/2021","473.99","461.67","474.18","460.94","102.38K","2.67%"
"12/30/2021","461.65","457.83","461.88","457.69","115.86K","0.83%"
"12/29/2021","457.83","458.03","460.33","456.90","105.72K","-0.05%"
"12/28/2021","458.05","449.41","458.05","449.41","128.26K","1.92%"
"12/27/2021","449.41","445.60","449.84","444.83","85.30K","0.85%"
"12/24/2021","445.61","442.61","447.04","440.69","115.18K","0.68%"
"12/23/2021","442.61","453.10","454.02","440.97","162.00K","-2.32%"
"12/22/2021","453.10","455.01","457.62","451.60","142.41K","-0.42%"
"12/21/2021","455.01","455.19","456.72","451.87","111.22K","0.09%"
"12/20/2021","454.59","456.20","458.31","451.83","120.83K","-0.35%"
"12/17/2021","456.20","457.04","461.15","454.82","140.19K","-0.18%"
"12/16/2021","457.03","453.70","457.45","453.53","115.57K","0.73%"
"12/15/2021","453.70","454.68","456.23","453.01","112.76K","-0.22%"
"12/14/2021","454.68","457.59","459.12","452.39","108.10K","-0.63%"
