"Date","Price","Open","High","Low","Vol.","Change %"
"02/05/2020","301.90","298.68","301.90","298.27","213.19M","1.26%"
"02/04/2020","298.14","297.08","299.46","296.85","223.78M","0.54%"
"02/03/2020","296.54","298.32","299.05","296.06","188.63M","-1.01%"
"01/31/2020","299.57","298.95","302.64","298.01","167.34M","0.23%"
"01/30/2020","298.89","298.73","299.91","297.49","133.75M","0.22%"
"01/29/2020","298.22","297.88","300.59","297.84","194.43M","0.37%"
"01/28/2020","297.12","298.35","301.24","296.70","361.46M","-0.90%"
"01/27/2020","299.81","302.99","303.14","298.71","392.01M","-2.21%"
"01/24/2020","306.60","307.26","308.82","306.51","265.00M","-0.17%"
"01/23/2020","307.12","305.89","307.12","305.58","389.80M","0.44%"
"01/22/2020","305.76","306.12","307.30","304.92","308.88M","-0.25%"
"01/21/2020","306.52","308.45","309.43","305.90","266.41M","-0.74%"
"01/20/2020","308.82","310.01","310.93","307.76","379.68M","0.01%"
"01/17/2020","308.80","309.48","311.67","308.77","524.35M","0.13%"
"01/16/2020","308.41","305.51","308.95","305.51","498.14M","1.17%"
"01/15/2020","304.83","304.70","305.70","303.79","238.12M","0.10%"
"01/14/2020","304.53","305.28","306.42","304.26","296.20M","-0.09%"
"01/13/2020","304.80","303.77","305.52","302.87","280.87M","0.35%"
"01/10/2020","303.75","304.53","305.44","302.85","359.51M","-0.01%"
"01/09/2020","303.78","301.15","304.42","300.96","371.86M","1.62%"
"01/08/2020","298.95","302.43","302.53","298.73","373.32M","-1.85%"
"01/07/2020","304.60","304.09","306.40","303.87","431.24M","0.23%"
"01/06/2020","303.89","309.49","309.62","302.41","407.15M","-2.47%"
"01/03/2020","311.58","312.63","313.57","310.69","336.90M","0.13%"
"01/02/2020","311.19","309.64","312.55","309.58","215.75M","0.50%"
"12/30/2019","309.64","308.29","310.45","308.25","172.15M","0.51%"
"12/27/2019","308.06","306.64","308.91","306.55","270.53M","0.52%"
"12/26/2019","306.47","306.92","307.32","306.23","393.84M","-0.05%"
"12/25/2019","306.62","306.86","307.71","306.07","201.38M","0.14%"
"12/24/2019","306.19","309.00","309.82","306.19","448.10M","-0.73%"
"12/23/2019","308.44","310.61","310.93","308.13","170.04M","-0.66%"
"12/20/2019","310.49","311.37","311.65","310.31","324.71M","-0.13%"
"12/19/2019","310.89","309.24","311.09","308.73","258.94M","0.45%"
"12/18/2019","309.51","309.00","310.85","308.62","1.60B","0.40%"
"12/17/2019","308.28","310.99","312.07","307.90","393.70M","-0.95%"
"12/16/2019","311.23","314.40","314.68","309.65","558.75M","-1.16%"
"12/13/2019","314.89","314.92","316.78","314.47","543.15M","0.38%"
"12/12/2019","313.70","310.54","314.27","310.52","440.13M","1.37%"
"12/11/2019","309.46","311.30","312.99","309.27","384.44M","-0.54%"
"12/09/2019","311.14","313.62","314.13","310.87","387.97M","-0.88%"
"12/06/2019","313.89","315.10","316.52","311.99","354.87M","-0.11%"
"12/04/2019","314.23","314.80","315.00","313.03","393.90M","-0.10%"
"12/03/2019","314.55","314.53","316.08","314.14","227.92M","-0.18%"
"12/02/2019","315.12","319.25","319.68","314.69","318.85M","-1.18%"
"11/29/2019","318.88","320.04","320.10","316.86","505.49M","-0.46%"
"11/28/2019","320.35","323.36","324.25","320.16","563.74M","-0.82%"
"11/27/2019","323.00","321.22","323.14","321.21","416.24M","0.56%"
"11/26/2019","321.20","322.45","322.91","321.20","378.33M","-0.17%"
"11/25/2019","321.76","320.68","321.89","320.13","434.72M","0.54%"
"11/22/2019","320.02","319.15","320.27","318.69","626.04M","0.43%"
"11/21/2019","318.65","321.03","321.76","318.56","273.27M","-0.68%"
"11/20/2019","320.83","322.54","323.53","320.21","266.94M","-0.40%"
"11/19/2019","322.13","322.02","323.05","321.19","307.17M","0.27%"
"11/18/2019","321.26","319.75","321.26","319.13","275.02M","0.55%"
"11/15/2019","319.49","323.25","324.23","318.35","519.46M","-0.84%"
"11/14/2019","322.21","325.54","325.86","321.79","675.48M","-0.96%"
"11/13/2019","325.32","329.21","329.57","324.77","442.98M","-1.30%"
"11/12/2019","329.59","331.56","331.87","329.20","364.67M","-0.47%"
"11/11/2019","331.15","333.08","333.88","330.69","244.50M","-0.44%"
"11/08/2019","332.63","331.69","333.49","330.76","369.41M","0.62%"
"11/07/2019","330.59","329.30","330.59","328.48","325.64M","0.60%"
"11/06/2019","328.62","326.13","328.62","325.99","438.92M","1.00%"
"11/05/2019","325.36","325.53","326.78","324.67","581.02M","0.06%"
"11/04/2019","325.15","322.70","325.50","322.59","459.03M","0.55%"
"11/01/2019","323.37","326.21","326.59","322.34","351.38M","-0.64%"
"10/31/2019","325.46","322.87","325.69","322.84","298.70M","0.97%"
"10/30/2019","322.34","322.57","323.85","321.64","211.24M","0.08%"
"10/29/2019","322.09","324.68","326.14","322.09","278.90M","-0.74%"
"10/28/2019","324.49","326.43","326.53","322.42","316.85M","-0.53%"
"10/25/2019","326.21","334.09","334.45","326.21","376.14M","-2.36%"
"10/24/2019","334.08","337.31","338.39","334.06","308.52M","-0.70%"
"10/22/2019","336.43","335.55","336.86","334.78","369.35M","0.37%"
"10/21/2019","335.20","337.18","338.29","335.00","214.91M","-0.46%"
"10/18/2019","336.74","336.18","337.68","335.20","320.44M","0.12%"
"10/17/2019","336.35","336.73","338.63","336.15","314.86M","-0.06%"
"10/16/2019","336.54","335.81","337.48","335.64","266.17M","0.40%"
"10/15/2019","335.20","336.98","337.33","335.20","293.16M","-0.40%"
"10/11/2019","336.53","335.48","336.53","334.82","306.40M","0.41%"
"10/10/2019","335.15","335.23","335.70","334.08","318.05M","0.15%"
"10/09/2019","334.66","336.40","336.90","333.66","527.57M","-0.65%"
"10/08/2019","336.84","339.00","339.61","336.32","724.11M","-0.57%"
"10/07/2019","338.76","337.60","340.96","337.58","359.62M","0.43%"
"10/04/2019","337.32","341.12","342.40","337.13","499.35M","-0.91%"
"10/03/2019","340.41","340.76","342.48","339.72","376.85M","-0.19%"
"10/02/2019","341.05","343.16","343.91","340.95","395.32M","-0.73%"
"10/01/2019","343.56","346.26","347.30","343.56","468.04M","-0.60%"
"09/30/2019","345.62","346.58","347.89","345.62","287.14M","0.00%"
"09/27/2019","345.63","345.83","347.26","344.77","260.87M","-0.14%"
"09/26/2019","346.10","345.19","347.17","344.12","305.88M","0.49%"
"09/25/2019","344.40","344.34","344.99","343.09","835.79M","0.16%"
"09/24/2019","343.86","345.21","347.07","343.13","325.97M","-0.33%"
"09/23/2019","344.99","346.68","347.08","344.21","341.73M","-0.51%"
