"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2019","804.90","819.48","819.52","800.75","96.79K","-1.78%"
"01/02/2019","819.48","820.15","829.13","817.38","64.95K","-0.08%"
"12/28/2018","820.11","830.65","832.98","820.11","85.61K","-1.22%"
"12/27/2018","830.28","825.25","835.98","825.25","76.73K","0.66%"
"12/26/2018","824.82","828.81","830.86","823.51","70.05K","-0.48%"
"12/25/2018","828.83","837.69","837.69","814.24","116.29K","-1.06%"
"12/24/2018","837.70","838.39","843.67","837.70","77.00K","-0.08%"
"12/21/2018","838.36","841.94","841.94","831.59","85.13K","-0.43%"
"12/20/2018","841.94","842.92","846.39","839.57","72.45K","-0.39%"
"12/19/2018","845.23","852.05","852.97","840.45","91.13K","-0.81%"
"12/18/2018","852.11","862.23","862.23","843.37","112.46K","-1.17%"
"12/17/2018","862.23","878.41","878.41","862.13","108.05K","-1.84%"
"12/14/2018","878.42","886.14","886.14","877.31","98.96K","-0.87%"
"12/13/2018","886.15","885.42","891.63","885.17","104.34K","0.13%"
"12/12/2018","885.02","879.70","885.02","879.57","102.83K","0.61%"
"12/11/2018","879.64","880.09","882.65","873.72","84.98K","-0.07%"
"12/10/2018","880.27","885.87","885.94","879.68","88.03K","-0.68%"
"12/07/2018","886.34","880.23","889.17","880.23","111.01K","0.69%"
"12/06/2018","880.23","881.72","884.27","874.24","109.86K","-0.18%"
"12/05/2018","881.80","884.05","884.54","873.30","112.05K","-0.26%"
"12/04/2018","884.10","878.79","885.35","877.17","137.63K","0.61%"
"12/03/2018","878.73","854.84","878.73","854.84","116.16K","2.80%"
"11/30/2018","854.79","856.17","857.28","850.17","90.65K","-0.17%"
"11/29/2018","856.24","859.84","867.64","856.24","76.98K","-0.41%"
"11/28/2018","859.78","854.23","859.78","853.18","61.91K","0.65%"
"11/27/2018","854.25","853.82","861.71","852.81","72.55K","0.05%"
"11/26/2018","853.80","850.11","854.65","846.90","57.38K","0.44%"
"11/23/2018","850.09","857.42","857.92","848.99","74.81K","-0.86%"
"11/22/2018","857.46","855.93","858.87","855.10","79.48K","0.19%"
"11/21/2018","855.80","852.14","855.80","841.37","82.15K","0.43%"
"11/20/2018","852.15","848.44","852.15","843.93","86.23K","0.43%"
"11/19/2018","848.46","831.39","848.46","831.39","86.44K","2.05%"
"11/16/2018","831.39","828.15","836.27","827.33","101.87K","0.39%"
"11/15/2018","828.14","834.35","837.15","823.62","90.62K","-0.74%"
"11/14/2018","834.35","835.42","841.44","830.89","86.70K","-0.13%"
"11/13/2018","835.42","847.62","847.62","834.69","93.00K","-1.44%"
"11/12/2018","847.62","843.78","848.13","836.12","73.87K","0.21%"
"11/09/2018","845.87","858.92","858.92","845.87","94.98K","-1.52%"
"11/08/2018","858.92","856.73","866.34","856.73","91.78K","0.26%"
"11/07/2018","856.71","857.26","859.94","850.75","85.32K","-0.08%"
"11/06/2018","857.36","861.15","864.91","857.36","80.02K","-0.40%"
"11/05/2018","860.78","859.38","860.78","851.80","83.72K","0.15%"
"11/02/2018","859.52","845.07","861.27","845.03","121.60K","1.71%"
"11/01/2018","845.07","857.13","857.22","843.10","84.59K","-1.41%"
"10/31/2018","857.13","833.37","857.43","833.37","112.84K","2.85%"
"10/30/2018","833.37","833.56","840.71","828.56","84.37K","-0.21%"
